Unnamed: 0,date,name,country,venue,clean_country
195,"Feb 29 - Mar 1, 2020",Franconia Winter 2020,"Germany, Nürnberg",Bürgersaal,Germany
196,"Feb 29 - Mar 1, 2020",Greve Gymnasium 2020,"Denmark, Greve","Greve Gymnasium, Plenum",Denmark
197,"Feb 29 - Mar 1, 2020",Hamburg International 2020,"Germany, Hamburg",International School of Hamburg,Germany
207,"Feb 29, 2020",MLS Warszawa 2020,"Poland, Warszawa",Szkoła Podstawowa nr 195 im. Króla Maciusia I,Poland
221,"Feb 22 - 23, 2020",Doncaster Open 2020,"United Kingdom, Doncaster, South Yorkshire",Doncaster School For The Deaf,United Kingdom
222,"Feb 22 - 23, 2020",Frankfurt Cube Days 2020,"Germany, Frankfurt",Gemeindehaus Thomasgemeinde,Germany
224,"Feb 22 - 23, 2020",Helsinki Open 2020,"Finland, Helsinki",Sokos Hotel Presidentti,Finland
226,"Feb 22 - 23, 2020",LLS II 2020,"Poland, Lublin",Szkoła Podstawowa nr 18 im. Macieja Rataja,Poland
227,"Feb 22 - 23, 2020",Mémorial François Courtès 2020,"France, Montpellier",Salon du Belvédère,France
234,"Feb 22 - 23, 2020",Budapest Open 2020,"Hungary, Budapest",Lurdy Konferencia- és Rendezvényközpont,Hungary
238,"Feb 22, 2020",Nicosia Cubers 2020,"Cyprus, Nicosia",Terra Santa College,Cyprus
241,"Feb 22, 2020",UCLM Cuenca Open 2020,"Spain, Cuenca",Escuela Politécnica de Cuenca,Spain
248,"Feb 15 - 16, 2020",Kiev Super Blind 2020,"Ukraine, Kiev",Exit Games,Ukraine
249,"Feb 15 - 16, 2020",Vedruna Balaguer Open 2020,"Spain, Balaguer, Lleida",Vedruna Balaguer,Spain
250,"Feb 15 - 16, 2020",Annuntia Open 2020,"Belgium, Wijnegem",Annuntia-Scholengroep Wijnegem,Belgium
251,"Feb 15 - 16, 2020",Basel Open 2020,"Switzerland, Basel",Halle 7,Switzerland
253,"Feb 15 - 16, 2020",Chelles Open 2020,"France, Chelles",Théatre de Chelles,France
262,"Feb 15, 2020",Bologna Winter Madness 2020,"Italy, Castenaso, Bologna",PalaGioBat,Italy
267,"Feb 9, 2020",DSF Generalforsamlingen 2020,"Denmark, Odense",Rosenbækhuset,Denmark
268,"Feb 8 - 9, 2020",Fontwell Open 2020,"United Kingdom, Fontwell, West Sussex",Fontwell Park Racecourse,United Kingdom
271,"Feb 8 - 9, 2020",Savoie Open 2020,"France, Chambéry",Collège Saint François de Sales,France
281,"Feb 1 - 2, 2020",Salzburg Open 2020,"Austria, Salzburg",HTBLuVA Salzburg,Austria
282,"Feb 1 - 2, 2020",Dutch Masters 2020,"Netherlands, Ermelo",Sportcentrum Triade,Netherlands
283,"Feb 1 - 2, 2020",Getafe Continúa 2020,"Spain, Getafe, Madrid",Centro Cívico Juan de la Cierva,Spain
293,"Jan 31 - Feb 2, 2020",Popular 'n Blind Flen 2020,"Sweden, Flen",Aktivitetshuset Skjortan,Sweden
297,"Jan 25 - 26, 2020",PST Biłgoraj 2020,"Poland, Biłgoraj",SP nr 1 w Biłgoraju,Poland
299,"Jan 25 - 26, 2020",Istres Open 2020,"France, Istres",Halle polyvalente,France
303,"Jan 25, 2020",Helsinki Winter Special 2020,"Finland, Helsinki",Autotalo,Finland
311,"Jan 18 - 19, 2020",Guildford Open 2020,"United Kingdom, Guildford, Surrey",Royal Grammar School Guildford,United Kingdom
316,"Jan 18 - 19, 2020",Minx C-Open-hagen 2020,"Denmark, Kastrup",Skottegårdsskolen,Denmark
321,"Jan 18 - 19, 2020",Berlin Winter Cubing 2020,"Germany, Berlin",Leonardo-da-Vinci-Gymnasium,Germany
330,"Jan 11 - 12, 2020",Elisa Kulma Open 2020,"Finland, Helsinki",Elisa Kulma,Finland
337,"Jan 11, 2020",Moldova Open 2020,"Moldova, Chişinău",Moldova State University,Moldova
345,"Jan 4 - 5, 2020",GLS Gdynia 2020,"Poland, Gdynia",Mercure Gdynia Centrum,Poland
346,"Jan 4 - 5, 2020",Happy New Year Cubing Hoorn 2020,"Netherlands, Hoorn",OSG West Friesland,Netherlands
348,"Jan 4 - 5, 2020",Swisscubing Cup I 2020,"Switzerland, Sonvico",Sala Multiuso Sonvico,Switzerland
352,"Jan 4 - 5, 2020",PST LLS Lublin 2020,"Poland, Lublin",I Liceum Ogólnokształcące im. Stanisława Staszica w Lublinie,Poland
353,"Jan 4 - 5, 2020",Salento Cubing Open 2020,"Italy, Lecce",Oratorio dei Salesiani di Lecce,Italy
357,"Jan 4, 2020",Södertälje New Year 2020,"Sweden, Södertälje",Sankt Ansgars Kyrka,Sweden
381,"Dec 22, 2019",Feet Challenge Ukraine 2019,"Ukraine, Kiyiv","Educational centre of ""Farmastor"" company",Ukraine
396,"Dec 21, 2019",Franconia X 2019,"Germany, Nürnberg",Rückersdorf,Germany
399,"Dec 21, 2019",New Year in PSU 2019,"Belarus, Novopolotsk",Polotsk State University,Belarus
403,"Dec 21, 2019",Alicante Open 2019,"Spain, Alicante",Dual Games Alicante,Spain
406,"Dec 21, 2019",Cubers Eve 2019,"Poland, Środa Wielkopolska",Zespół Szkół Rolniczych,Poland
417,"Dec 14 - 15, 2019",Speedcub'Eirb Winter Open 2019,"France, Talence",Espace ingénieur de l'ENSEIRB-MATMECA,France
419,"Dec 14 - 15, 2019",Tapiola Winter Open 2019,"Finland, Espoo",Etelä-Tapiolan lukio,Finland
421,"Dec 14 - 15, 2019",Tirol Open 2019,"Austria, Schwaz",Bischöfliches Gymnasium Paulinum,Austria
424,"Dec 14 - 15, 2019",PST Łuków 2019,"Poland, Łuków",I Liceum Ogólnokształcące im. T. Kościuszki,Poland
426,"Dec 14 - 15, 2019",Aarhus Christmas 2019,"Denmark, Aarhus",Fjordsgade forenings- og fritidshus,Denmark
429,"Dec 14 - 15, 2019",Clact-On Socks Off 2019,"United Kingdom, Clacton-on-Sea, Essex",Clacton County High School,United Kingdom
431,"Dec 14 - 15, 2019",FME Open 2019,"Spain, Barcelona",Facultat de Matemàtiques i Estadística,Spain
435,"Dec 14, 2019",FMC Germany 2019,"Germany, Dortmund",VHS Dortmund,Germany
450,"Dec 8, 2019",Rijswijk Open 2019,"Netherlands, Rijswijk",Stichting Don Bosco Rijswijk,Netherlands
454,"Dec 7 - 8, 2019",SSL Final Stockholm 2019,"Sweden, Stockholm",Östra Gymnasiet,Sweden
455,"Dec 7 - 8, 2019",Swisscubing Cup Final 2019,"Switzerland, Hünenberg",Böschhof Kultursilo,Switzerland
456,"Dec 7 - 8, 2019",Ugine Jeu et Jouet 2019,"France, Ugine",Salle festive,France
462,"Dec 7 - 8, 2019",Frankivsk Open 2019,"Ukraine, Ivano-Frankivsk",Catholic School named after Saint Basil the Great,Ukraine
465,"Dec 7 - 8, 2019",Latvian Open 2019,"Latvia, Rīga",Rīgas Valsts 3. ģimnāzija,Latvia
475,"Dec 7, 2019",Tartu Open 2019,"Estonia, Tartu",Estonian Students' Society,Estonia
477,"Dec 6 - 8, 2019",Santa Claus Cube Race 2019,"Poland, Będzin",Miejski Zespół Szkół nr 2 im. Huberta Wagnera ,Poland
480,"Dec 1, 2019",Lovech Winter 2019,"Bulgaria, Lovech",Ekzarh Yossif Language School Lovech,Bulgaria
484,"Nov 30 - Dec 1, 2019",Basauri Open 2019,"Spain, Basauri, Bilbao",Ibaigane Kultur Etxea (Casa de Cultura Ibaigane),Spain
485,"Nov 30 - Dec 1, 2019",Bremium Winter 2019,"Germany, Bremen",Universität Bremen Geisteswissenschaften 2 (GW2),Germany
487,"Nov 30 - Dec 1, 2019",Kjeller Mental Breakdown 2019,"Norway, Kjeller",Kjeller skole,Norway
490,"Nov 30, 2019",Malta Open 2019,"Malta, Msida",The University of Malta,Malta
491,"Nov 30, 2019",Andorra 2019,"Andorra, Andorra la Vella",Pyrénées,Andorra
495,"Nov 30, 2019",Lion's Cup 2019,"Belarus, Mogilev",Belarusian-Russian University,Belarus
501,"Nov 23 - 24, 2019",Weston-super-Mare Open 2019,"United Kingdom, Weston-super-Mare, Somerset",Grand Pier,United Kingdom
504,"Nov 23 - 24, 2019",Happy BSTU Cubing Days 2019,"Belarus, Minsk",Student residence №4 of Belarusian State Technological University (BSTU),Belarus
507,"Nov 23 - 24, 2019",Baden-Württemberg Open 2019,"Germany, Weingarten (Baden)","Mineralix-Arena, Kulturraum",Germany
517,"Nov 23, 2019",III Project Warszawa 2019,"Poland, Warszawa",Szkoła Podstawowa nr 75 im. Marii Konopnickiej,Poland
519,"Nov 23, 2019",Kosovo Open 2019,"Kosovo, Pristina - Fushe Kosove",The British School of Kosova,Kosovo
520,"Nov 22 - 24, 2019",Finnish Championship 2019,"Finland, Vantaa",Tikkurilan lukio,Finland
521,"Nov 22 - 24, 2019",Tårnby Cube Træf 2019,"Denmark, Tårnby",Løjtegårdsskolen,Denmark
528,"Nov 17, 2019",Blind in the Water Tower 2019,"Sweden, Norrköping",Norrköping´s Old Water Tower,Sweden
531,"Nov 16 - 17, 2019",Fuengirola Cubea 2019,"Spain, Fuengirola, Málaga","Complejo Deportivo Juan Gómez ""Juanito""",Spain
534,"Nov 16 - 17, 2019",LLS V Final 2019,"Poland, Lublin",Szkoła Podstawowa nr 18 im. Macieja Rataja,Poland
535,"Nov 16 - 17, 2019",Martorell Open 2019,"Spain, Martorell",Centre Cultural de Martorell,Spain
538,"Nov 16 - 17, 2019",Cubes Masters Zhytomyr 2019,"Ukraine, Zhytomyr","Business centre ""Imperial""",Ukraine
552,"Nov 9 - 11, 2019",Barby Cube 2019,"France, Barby",Ecole élémentaire,France
559,"Nov 9 - 10, 2019",Xlingen Open 2019,"Switzerland, Kreuzlingen",Aula Torggel,Switzerland
562,"Nov 9 - 10, 2019",GLS Cup IV 2019,"Poland, Gdańsk",Mercure Old Town,Poland
564,"Nov 9 - 10, 2019",Ljubljana Open 2019,"Slovenia, Ljubljana",Balassi Intézet,Slovenia
565,"Nov 9 - 10, 2019",Montenegro Nationals 2019,"Montenegro, Podgorica","Gimnazija ""Slobodan Škerović""",Montenegro
566,"Nov 9 - 10, 2019",PST CFL Częstochowa 2019,"Poland, Częstochowa",Miejski Dom Kultury,Poland
584,"Nov 2 - 3, 2019",Every Event Éire 2019,"Ireland, Balbriggan",Bracken Court Hotel,Ireland
585,"Nov 2 - 3, 2019",Kjeller Open 2019,"Norway, Kjeller",Kjeller School,Norway
586,"Nov 2 - 3, 2019",Kubekings Villanueva Open 2019,"Spain, Villanueva de la Cañada, Madrid",Polideportivo Santiago Apóstol,Spain
590,"Nov 2 - 3, 2019",Smartcube Fest Kyiv 2019,"Ukraine, Kyiv",Ukrainian House,Ukraine
591,"Nov 2 - 3, 2019",SSL 4 Sundsvall 2019,"Sweden, Sundsvall",Prolympia Tomtegränd,Sweden
593,"Nov 2 - 3, 2019",Munich Open 2019,"Germany, Unterhaching",Hachinga Halle,Germany
595,"Nov 2, 2019",Bacau Cubing Fall 2019,"Romania, Bacau",Colegiul Tehnic de Comunicaţii “Nicolae Vasilescu–Karpen”,Romania
596,"Nov 2, 2019",Black Pawn in Brest 2019,"Belarus, Brest",Track and Field Arena,Belarus
602,"Nov 1 - 3, 2019",Cube An Dro 2019,"France, Rennes",École Saint-Michel,France
604,"Nov 1 - 3, 2019",Italian Championship 2019,"Italy, Rovigo",Cen.Ser.-RovigoFiere,Italy
613,"Oct 26 - 27, 2019",German Big Cube Open 2019,"Germany, Düsseldorf",Haus der Jugend Düsseldorf,Germany
619,"Oct 26 - 27, 2019",Macedonian Nationals 2019,"North Macedonia, Skopje",OU Gjorgjija Pulevski,North Macedonia
622,"Oct 26 - 27, 2019",Seraing Open 2019,"Belgium, Seraing",Hall sportif de l’école de la Troque à Seraing,Belgium
627,"Oct 26, 2019",Project Dębica 2019,"Poland, Dębica",Szkoła Podstawowa nr 5,Poland
631,"Oct 25 - 27, 2019",UK Championship 2019,"United Kingdom, Stevenage, Hertfordshire",The Forum,United Kingdom
640,"Oct 19 - 20, 2019",Swisscubing Cup V 2019,"Switzerland, Schaffhausen",Hotel Kronenhof,Switzerland
643,"Oct 19 - 20, 2019",Dnepr Puzzles Fest 2019,"Ukraine, Dnepr",Central city Library,Ukraine
645,"Oct 19 - 20, 2019",Paris Open 2019,"France, Paris",Gymnase de l'Ecole Sainte Marthe,France
646,"Oct 19 - 20, 2019",Road to IC - Milano 2019,"Italy, Milan",Politecnico di Milano,Italy
647,"Oct 19 - 20, 2019",Sarajevo Open 2019,"Bosnia and Herzegovina, Sarajevo",Faculty of Science / Prirodno-matematički fakultet,Bosnia and Herzegovina
648,"Oct 19, 2019",LLS IV 2019,"Poland, Lublin",Zespół Szkół Samochodowych im. Stanisława Syroczyńskiego,Poland
662,"Oct 17 - 20, 2019",Nordic Championship 2019,"Denmark, Hvidovre",Hvidovre Gymnasium,Denmark
670,"Oct 12 - 13, 2019",Pau Open Fast'n Cuber 2019,"France, Pau",Médiathèque André Labarrère,France
672,"Oct 12 - 13, 2019",Dutch Open 2019,"Netherlands, Voorburg",Sint-Maartenscollege,Netherlands
674,"Oct 12 - 13, 2019",Franconia Fall 2019,"Germany, Nürnberg",Rückersdorf,Germany
676,"Oct 12 - 13, 2019",Bački Petrovac Open 2019,"Serbia, Bački Petrovac","Sportska Hala Osnovne Škole  ""Jan Čajak""",Serbia
685,"Oct 12, 2019",Sebes Autumn 2019,"Romania, Sebes",Colegiul Naţional “Lucian Blaga”,Romania
689,"Oct 11 - 13, 2019",Polish Championship 2019,"Poland, Gdańsk",Sala BHP,Poland
690,"Oct 11 - 13, 2019",Spanish Championship 2019,"Spain, Albacete",Instituto Ferial de Albacete (IFAB),Spain
696,"Oct 5 - 6, 2019",Värnamo Cube Days 2019,"Sweden, Värnamo",Östboskolan,Sweden
705,"Oct 5 - 6, 2019",PST Rzeszów 2019,"Poland, Rzeszów",II Liceum Ogólnokształcące im. płk. Leopolda Lisa-Kuli w Rzeszowie,Poland
709,"Oct 5, 2019",Road to IC - Montecatini 2019,"Italy, Montecatini Terme",Hotel Tuscany Inn,Italy
713,"Oct 5, 2019",U.R.A. Big Cubes and FMC 2019,"Romania, Bucuresti",Universitatea Romano Americana,Romania
715,"Oct 4 - 6, 2019",Nidaros Cubing 2019,"Norway, Trondheim","Realfagsbygget, NTNU, Gløshaugen",Norway
716,"Oct 4 - 6, 2019",Pönde Open 2019,"Finland, Kirkkonummi",Kirkkoharjun koulu,Finland
722,"Sep 28 - 29, 2019",Dragon Cubing 2019,"Poland, Kraków","Młodzieżowy Dom Kultury ""Dom Harcerza""",Poland
726,"Sep 28 - 29, 2019",ICHB Back To School 2019,"Romania, Bucuresti",Liceul Teoretic International de Informatica Bucuresti,Romania
727,"Sep 28 - 29, 2019",Liechtenstein Open 2019,"Liechtenstein, Vaduz",Spörryhalle Vaduz,Liechtenstein
728,"Sep 28 - 29, 2019",Belgian Open 2019,"Belgium, Brugge",VTI Brugge,Belgium
729,"Sep 28 - 29, 2019",Brno Autumn 2019,"Czech Republic, Brno",Pavilon v Lužánkách ,Czech Republic
735,"Sep 28 - 29, 2019",Prebold Open 2019,"Slovenia, Prebold",Anin dom,Slovenia
740,"Sep 28, 2019",Cubing Autumn in Vitebsk 2019,"Belarus, Vitebsk",14th School,Belarus
752,"Sep 21 - 22, 2019",Tassin-la-Demi-Cube Open 2019,"France, Tassin-la-Demi-Lune",Salle Jules Ferry,France
753,"Sep 21 - 22, 2019",UPM Open 2019,"Spain, Madrid",Polideportivo Campus Sur (Universidad Politécnica de Madrid),Spain
755,"Sep 21 - 22, 2019",Monnem City Cubing 2019,"Germany, Mannheim",Karl-Friedrich-Gymnasium,Germany
